sector,abs_coef__Intercept,abs_coef__log_mkt_wrv_proxy_z,.lower__Intercept,.lower__log_mkt_wrv_proxy_z,.upper__Intercept,.upper__log_mkt_wrv_proxy_z,baseline_wrv_proxy__Intercept,baseline_wrv_proxy__log_mkt_wrv_proxy_z,stress_mult_1sd__Intercept,stress_mult_1sd__log_mkt_wrv_proxy_z
Automotive,-2.6127128865,0.2356140385,-2.790085897325,0.206761599675,-2.44700767575,0.2639873903625,0.07333532324550937,NA,NA,1.2656857099273724
Finance,-2.7290284739999997,0.28748608999999997,-2.863175696225,0.2662442445,-2.6024311613499997,0.30872957127750006,0.06528268269274129,NA,NA,1.3330720490020336
Healthcare,-2.9877776550000004,0.24082945230000002,-3.12461937175,0.21973502104999998,-2.8521172690000003,0.261511336875,0.050399317029430124,NA,NA,1.2723040282780067
Industrial,-2.829022706,0.3027221635,-2.9696331512500005,0.28097629673,-2.694901239625,0.32485871615,0.059070554768138106,NA,NA,1.3535383498377904
