sector,term,abs_coef,.lower,.upper,.width,.point,.interval,baseline_wrv_proxy,stress_mult_1sd
Automotive,Intercept,-2.6127128865,-2.790085897325,-2.44700767575,0.95,median,qi,0.07333532324550937,NA
Automotive,log_mkt_wrv_proxy_z,0.2356140385,0.206761599675,0.2639873903625,0.95,median,qi,NA,1.2656857099273724
Finance,Intercept,-2.7290284739999997,-2.863175696225,-2.6024311613499997,0.95,median,qi,0.06528268269274129,NA
Finance,log_mkt_wrv_proxy_z,0.28748608999999997,0.2662442445,0.30872957127750006,0.95,median,qi,NA,1.3330720490020336
Healthcare,Intercept,-2.9877776550000004,-3.12461937175,-2.8521172690000003,0.95,median,qi,0.050399317029430124,NA
Healthcare,log_mkt_wrv_proxy_z,0.24082945230000002,0.21973502104999998,0.261511336875,0.95,median,qi,NA,1.2723040282780067
Industrial,Intercept,-2.829022706,-2.9696331512500005,-2.694901239625,0.95,median,qi,0.059070554768138106,NA
Industrial,log_mkt_wrv_proxy_z,0.3027221635,0.28097629673,0.32485871615,0.95,median,qi,NA,1.3535383498377904
