fold,train_end,test_start,test_end,bayes_base_rmse,bayes_base_cov95,bayes_lag_rmse,bayes_lag_cov95,har_rmse,har_cov95
1,2021-02-21,2021-02-28,2021-08-22,0.46755885267408787,0.9242081447963801,0.4549866073926831,0.9287330316742082,NA,NA
2,2022-05-29,2022-06-05,2022-11-27,0.45459975804786945,0.9536199095022625,0.4449198000806374,0.9411764705882353,0.48434577132581114,0.26244343891402716
3,2023-09-03,2023-09-10,2024-03-03,0.515548223374389,0.920814479638009,0.5208767755895916,0.9140271493212669,0.5388129524874089,0.24547511312217193
4,2024-12-08,2024-12-15,2024-12-22,0.6866648589435662,0.8088235294117647,0.7001271467760342,0.7941176470588235,NA,NA
