symbol,sector,week,n_days,mean_ret,wrv_proxy,log_wrv_proxy,wrv_sd,log_wrv_sd
ABBV,Healthcare,2020-01-06,5,8.100396727206274e-4,0.019182349932411875,-3.9537646970937455,0.009548320893913694,-4.651389962574947
ABBV,Healthcare,2020-01-13,5,2.892744479138029e-4,0.02185954824121383,-3.8231174624484865,0.010924987995175045,-4.5167026368409
ABBV,Healthcare,2020-01-20,4,-0.01300280023017834,0.03170977711645861,-3.4511302192658357,0.010475665602906869,-4.5587002731490305
ABBV,Healthcare,2020-01-27,5,-0.006125914861750589,0.021721818610838613,-3.8294380576407616,0.008429164242306159,-4.776057652772105
ABBV,Healthcare,2020-02-03,5,0.02604798259929658,0.06961716896927586,-2.664744061469374,0.019066090500089544,-3.9598438882478555
ABBV,Healthcare,2020-02-10,5,0.0037781328590146515,0.045077559136318064,-3.0993707364335603,0.02213941563245528,-3.8103957462480245
ABBV,Healthcare,2020-02-17,4,0.002407297369093227,0.010692397120498638,-4.538222339560316,0.005512018193289849,-5.2008244446068055
ABBV,Healthcare,2020-02-24,5,-0.020497194327919993,0.05943492921280962,-2.8228731915520315,0.01891980400234839,-3.9675460746959743
ABBV,Healthcare,2020-03-02,5,0.007128396692454913,0.06370479355296525,-2.7534954672264362,0.03083922228510681,-3.478967948338223
ABBV,Healthcare,2020-03-09,5,-0.007923393936959337,0.12631497479825304,-2.068976691347169,0.06253313521822267,-2.7720586992352305
ABBV,Healthcare,2020-03-16,5,-0.04310005797035218,0.1465563248685222,-1.920345454322401,0.055205709337280556,-2.896688901024405
ABBV,Healthcare,2020-03-23,5,0.010886826755335406,0.116324239412848,-2.1513738197396135,0.056874233381589735,-2.866912880806881
ABBV,Healthcare,2020-03-30,5,0.001917258881268677,0.06187731194184664,-2.782601694074613,0.030864309181721443,-3.478154805317052
ABBV,Healthcare,2020-04-06,4,0.020845379685266792,0.05426829339593689,-2.913815137947492,0.020057652332013284,-3.9091445355995904
ABBV,Healthcare,2020-04-13,5,0.012031047083187802,0.042730864492957425,-3.1528337980083347,0.016599671011243572,-4.098372402415816
ABBV,Healthcare,2020-04-20,5,3.3520465302926806e-4,0.0508006120149746,-2.979846876931402,0.02539754107339389,-3.6731029177779546
ABBV,Healthcare,2020-04-27,5,-0.0018026195952454767,0.035499757123486936,-3.338229424116088,0.017635089798472437,-4.037864623247407
ABBV,Healthcare,2020-05-04,5,0.0026859955826003656,0.045981968845870344,-3.07950594094943,0.022794015648815853,-3.7812572490165905
ABBV,Healthcare,2020-05-11,5,0.015465387446473768,0.05880129150571077,-2.833591459935933,0.02377867131691672,-3.7389662632537344
ABBV,Healthcare,2020-05-18,5,0.0030414362338291694,0.02391553438485315,-3.733227056924818,0.011464086456090261,-4.468536046955546
ABBV,Healthcare,2020-05-25,4,0.0015425254477595151,0.03364775684157123,-3.3918088865822833,0.019344715052967833,-3.945336020689097
ABBV,Healthcare,2020-06-01,5,0.00253062170799548,0.03316929225712642,-3.406130763087517,0.016341524697023966,-4.114045883192073
ABBV,Healthcare,2020-06-08,5,-0.002984359049571526,0.052969498072061826,-2.9380390391726574,0.02627373085099623,-3.6391856659167936
ABBV,Healthcare,2020-06-15,5,0.008988130409618843,0.03316217893452079,-3.4063452411476325,0.013188988497830295,-4.3283730022420155
ABBV,Healthcare,2020-06-22,5,-0.00120308442643098,0.03150078946319263,-3.457742671141029,0.015692854075333017,-4.154549824679485
ABBV,Healthcare,2020-06-29,4,0.007051376664718621,0.02077723693926678,-3.8738972694635043,0.008809198286629698,-4.731958843557389
ABBV,Healthcare,2020-07-06,5,-0.004190010718001764,0.018126130609272314,-4.010400701744242,0.0077584737832184225,-4.858969641550856
ABBV,Healthcare,2020-07-13,5,0.010522081607747107,0.03143285651352221,-3.459901547366964,0.010421773623035887,-4.563858043798389
ABBV,Healthcare,2020-07-20,5,-0.00751833257547355,0.027347449855857405,-3.5991319955634746,0.01078490136767024,-4.529608144507803
ABBV,Healthcare,2020-07-27,5,-0.004583041068754437,0.016506920753426066,-4.1039755464142225,0.0064702609215247075,-5.040538843380666
ABBV,Healthcare,2020-08-03,5,-0.004238061950807847,0.02466344857116161,-3.702432946288444,0.011385076305496457,-4.475451877205499
ABBV,Healthcare,2020-08-10,5,0.0045749138106677325,0.032374154648429895,-3.4303948705487484,0.015357707408051363,-4.176137819690911
ABBV,Healthcare,2020-08-17,5,-4.4224450931458476e-4,0.018852047435890834,-3.9711337536979094,0.009413046683924706,-4.665658606913289
ABBV,Healthcare,2020-08-24,5,-0.001460110714640541,0.006935763322200479,-4.971064163182919,0.0030596240114816754,-5.78946324263205
ABBV,Healthcare,2020-08-31,5,-0.0049454338254038555,0.05032800238900217,-2.9891936492457605,0.02454903891122912,-3.707082573726692
ABBV,Healthcare,2020-09-07,4,-0.005975993728769259,0.03234940855073143,-3.4311595410236455,0.017355443232570943,-4.053849090808627
ABBV,Healthcare,2020-09-14,5,9.121006658157541e-4,0.01691470990596934,-4.079571627001801,0.008395650258916663,-4.780041533570665
ABBV,Healthcare,2020-09-21,5,-0.008802550115468663,0.02553438281119375,-3.6677293894823024,0.008132961681821387,-4.811830131253158
ABBV,Healthcare,2020-09-28,5,-2.553519202055154e-4,0.019902003635335622,-3.916934867127359,0.009946905620407146,-4.6104937691038685
ABBV,Healthcare,2020-10-05,5,0.0036360727604957833,0.034587712148458905,-3.364256800213631,0.016809258654581962,-4.085825433986701
ABBV,Healthcare,2020-10-12,5,-5.827583393512813e-4,0.019208223566022118,-3.9524167809169404,0.009581985913054118,-4.647870410669008
