week,mkt_ret,mkt_wrv_proxy,log_mkt_wrv_proxy,mkt_sd,log_mkt_sd
2020-01-05,0.0020366277883298303,0.01022993382991975,-4.5824371672780595,0.00458018237692426,-5.38601646135971
2020-01-12,0.0037954091561720076,0.011518781643682186,-4.463776389404417,0.0038941198376866294,-5.548287597547623
2020-01-19,-0.0024064810170048114,0.00921777351088794,-4.686621755295077,0.004538823083767029,-5.395087533185906
2020-01-26,-0.00432914901742447,0.026772717209673186,-3.6203719245585293,0.012480692395794739,-4.383572437147567
2020-02-02,0.006404845098044705,0.02133670502002717,-3.8473264489650414,0.007907982951769626,-4.839882529496825
2020-02-09,0.0032249938664726616,0.01016201486654678,-4.589098542856857,0.0035799308287307137,-5.632411800339792
2020-02-16,-0.0030697448257052612,0.01238973285482872,-4.39088714492715,0.006213215673981961,-5.081076695162987
2020-02-23,-0.02366911651012913,0.06501737790396347,-2.733100692450107,0.01888202880821113,-3.969544665975956
2020-03-01,8.085106103687539e-4,0.07587678720594486,-2.5786444752710516,0.037927623144816375,-3.272075589499591
2020-03-08,-0.019875934509430607,0.1688117627060057,-1.7789710149708318,0.08142810842208129,-2.508034753269636
2020-03-15,-0.031437774184901866,0.14435944516201774,-1.9354489426478962,0.06304359836450722,-2.763928754406298
2020-03-22,0.020439954881013644,0.11202088062427598,-2.189069990918407,0.0511363836180975,-2.973259026948102
2020-03-29,-0.0041706757295773295,0.06403037202569145,-2.748397745290397,0.0316737898803649,-3.4522657577552516
2020-04-05,0.02853643445644143,0.07446563408708257,-2.597417547444106,0.027615323608727097,-3.589384457112564
2020-04-12,0.005977346611273421,0.046086953498524985,-3.077225373403219,0.022053139913732776,-3.814300287511387
2020-04-19,-0.002577224260246555,0.044047401946249023,-3.1224889079931413,0.02183439484950525,-3.8242688071295996
2020-04-26,-1.2736278311137206e-4,0.04124705548032187,-3.1881755510445116,0.020623036145316607,-3.881346568491608
2020-05-03,0.0067110300368627505,0.023486433296609627,-3.7513323310648503,0.009033589101482907,-4.706805526348124
2020-05-10,-0.004257846480146405,0.029771596143168252,-3.514200489564781,0.01410409208057572,-4.261290305222704
2020-05-17,0.006299099577949762,0.03663665061871884,-3.306706156599226,0.016910432365062674,-4.079824547796351
2020-05-24,0.007403551253342395,0.01978035203327136,-3.9230661555105866,0.007572142847672457,-4.883279180563079
2020-05-31,0.00963528367854595,0.030106067837383784,-3.5030285382618427,0.010514060381209587,-4.555041833667228
2020-06-07,-0.009707644866774697,0.06244234987345867,-2.773511549938972,0.029273944103171076,-3.5310574383581863
2020-06-14,0.003769656961091723,0.02236396753453061,-3.800304207503168,0.010357309929030832,-4.5700627352280865
2020-06-21,-0.005645311121434956,0.03769929279795392,-3.2781139433790805,0.01776153842701185,-4.030719922027122
2020-06-28,0.009947738808655841,0.021302169484133514,-3.8489463577383067,0.0043951638236361164,-5.427250473537163
2020-07-05,0.0034042991154521977,0.023152233835253496,-3.765664009141703,0.010932516512963904,-4.5160137642311495
2020-07-12,0.002584024093308154,0.01855566710233998,-3.986980032416318,0.0088165594060109,-4.731123575089782
2020-07-19,-5.228560521184929e-4,0.01695153709848653,-4.077396764990756,0.008455585694456362,-4.772928027066698
2020-07-26,0.003484796178967274,0.017816316570045395,-4.0276405803229345,0.008010963020750838,-4.8269442978188755
2020-08-02,0.004871006549591207,0.012087245904204253,-4.415604439792507,0.0026204956362251546,-5.9443918049685625
2020-08-09,0.001352407943269911,0.01651072736883926,-4.103744965761357,0.008115711337015382,-4.813953424800506
2020-08-16,0.0015613915783865406,0.007370690401433669,-4.910243899904605,0.0032456647504211047,-5.7304350960550225
2020-08-23,0.006434713587590272,0.016111648480311193,-4.128212760503663,0.0036248283401258993,-5.619948346244784
2020-08-30,-0.004622536137418255,0.04001125907924843,-3.2185943874942033,0.01932654684234907,-3.946275644123401
2020-09-06,-0.006288828142171712,0.03816988673829299,-3.2657083795258908,0.02080659203239069,-3.8724854178507004
2020-09-13,-0.001253036396791763,0.02060481937189343,-3.882230280456743,0.010206714460220909,-4.58470949484961
2020-09-20,-0.0011647740843514036,0.03229280397712994,-3.432910860660016,0.016093800789181652,-4.129321125290461
2020-09-27,0.0030850180929451448,0.022140315715567446,-3.810355091840923,0.01051911232965986,-4.554561454542607
2020-10-04,0.007646119976070509,0.031123732766975474,-3.4697846393401566,0.01300356670213773,-4.342531597447987
2020-10-11,2.535197963795237e-4,0.018417362089741075,-3.994461467436368,0.009204317803466618,-4.6880825785625975
2020-10-18,-8.714851827940065e-4,0.017195795377550283,-4.063090379840261,0.00854251055819412,-4.76270033801491
2020-10-25,-0.011450016747899507,0.042205612105963776,-3.1652020784893495,0.016776466222086072,-4.087778194752583
2020-11-01,0.013967556814167724,0.03594737690667081,-3.325699162521087,0.008898745553239986,-4.721844961252456
2020-11-08,0.004484397094763159,0.022292056413436775,-3.803524878619662,0.009954731194540694,-4.609707343885718
2020-11-15,-0.0015530952887087255,0.019860362098753782,-3.919029387965673,0.009777185916900752,-4.627703574898298
2020-11-22,0.005799996741100666,0.01736003732182315,-4.053584419877638,0.007456787669141436,-4.8986305648581325
2020-11-29,0.003370159468112026,0.014701783824828049,-4.219786443931837,0.0063117464585772535,-5.0653428644048235
2020-12-06,-0.0019289868707563376,0.00976831875343965,-4.628610910290143,0.0043822111864630945,-5.430201844889125
2020-12-13,0.0024170367201192355,0.01581248936001405,-4.146955185379111,0.007430082220751898,-4.902218354263644
2020-12-20,-1.2190228386354263e-4,0.005617660839428506,-5.181839922462692,0.003240302076432792,-5.732088720056957
