week,mkt_ret,mkt_wrv_proxy,log_mkt_wrv_proxy,mkt_sd,log_mkt_sd
2020-01-06,0.002036627788329852,0.010229889496161548,-4.582441501016186,0.00458015762181526,-5.386021866204728
2020-01-13,0.0037953890911503105,0.011518812422519585,-4.463773717351311,0.0038941670437680777,-5.548275475220295
2020-01-20,-0.002406506583476943,0.009217842089123539,-4.68661431553965,0.004538851434549858,-5.395081286920352
2020-01-27,-0.004329108499225066,0.0267724547667966,-3.6203817272304377,0.01248056922029056,-4.383582306480782
2020-02-03,0.006404845098044737,0.02133679412492502,-3.847322272841703,0.007908043055644303,-4.839874929120517
2020-02-10,0.0032249544080396302,0.010162076432497091,-4.589092484435902,0.003580018950726434,-5.632387185084535
2020-02-17,-0.0030697204688684703,0.012390194872345878,-4.390849855268979,0.00621353881849267,-5.081024687293841
2020-02-24,-0.0236690740549401,0.06501735213187992,-2.7331010888378033,0.018882073145907983,-3.9695423178360794
2020-03-02,8.084657366175467e-4,0.07587644102196175,-2.578649037730607,0.03792745119937147,-3.2720801230247742
2020-03-09,-0.019875862655679748,0.16881153847080718,-1.7789723432867255,0.08142801412803763,-2.508035911273918
2020-03-16,-0.03143783811750861,0.14435964449915642,-1.9354475618099412,0.06304367262542973,-2.763927576477361
2020-03-23,0.020439982415966458,0.11202090925718877,-2.1890697353150856,0.051136385541467023,-2.973258989335558
2020-03-30,-0.004170715473895338,0.06403054535098142,-2.7483950383710103,0.03167387093537487,-3.4522631987022754
2020-04-06,0.028536467806125013,0.07446581882742512,-2.597415066566643,0.0276154437120419,-3.5893801079673096
2020-04-13,0.005977323510357808,0.04608683046454379,-3.0772280430122096,0.022053083460880366,-3.8143028473702048
2020-04-20,-0.0025772479603797926,0.04404751604358326,-3.122486317665871,0.02183444889597237,-3.824266331842302
2020-04-27,-1.272457357901829e-4,0.04124729098207194,-3.1881698415199162,0.020623154802147325,-3.8813408149018587
2020-05-04,0.006711005076097456,0.023486582345358515,-3.7513259849213525,0.00903370915804075,-4.7067922364188695
2020-05-11,-0.0042578686356840156,0.029771443432656558,-3.5142056189808395,0.014104003132711658,-4.261296611771472
2020-05-18,0.006299098860812455,0.036636639278729184,-3.306706466125103,0.016910426556922497,-4.079824891261322
2020-05-25,0.007403468840228974,0.01978011533113652,-3.9230781221101045,0.007572044176664944,-4.883292211438537
2020-06-01,0.009635368667029479,0.030106251402676802,-3.5030224409948603,0.010514094430493191,-4.5550385952201164
2020-06-08,-0.009707686337599736,0.06244233382106168,-2.773511807014484,0.029273918352668474,-3.5310583179975628
2020-06-15,0.0037696783213686125,0.02236369489942856,-3.800316398397448,0.010357153039346098,-4.570077883068026
2020-06-22,-0.005645244594551074,0.03769872521244438,-3.2781289990933957,0.01776126367957703,-4.030735390820039
2020-06-29,0.00994762894970492,0.021301892799507675,-3.8489593463882623,0.004395048348527662,-5.427276747102852
2020-07-06,0.0034042783571309717,0.023152232078636394,-3.765664085014173,0.010932523662893306,-4.516013110225545
2020-07-13,0.0025840858353156962,0.018555722195379366,-3.9869770633526196,0.00881656577373949,-4.731122852843609
2020-07-20,-5.228764903191149e-4,0.01695138559541182,-4.077405702454708,0.00845550818229888,-4.772937194085466
2020-07-27,0.0034847554428772084,0.01781659948156905,-4.027624701099171,0.008011142468514322,-4.826921897796155
2020-08-03,0.004871026740195626,0.01208734238311276,-4.415596457947492,0.002620559976803142,-5.944367252442224
2020-08-10,0.0013523687992555045,0.016510674549341048,-4.103748164868309,0.008115692626453076,-4.813955730277265
2020-08-17,0.0015614501422022563,0.007371079758567489,-4.910191076243717,0.0032458505847561023,-5.73037784152339
2020-08-24,0.006434750582607384,0.01611175774681037,-4.12820597869429,0.0036248676662077504,-5.619937497215578
2020-08-31,-0.00462261179687421,0.04001141016169593,-3.2185906115030014,0.019326602417422352,-3.946272768545377
2020-09-07,-0.006288828754978231,0.03816964648210712,-3.2657146739365515,0.020806444867967136,-3.872492490846786
2020-09-14,-0.0012531358154187844,0.020604909352162557,-3.8822259135136976,0.010206744615098998,-4.584706540438212
2020-09-21,-0.0011645950061341492,0.03229227457941825,-3.4329272544687264,0.01609355142495729,-4.129336619837679
2020-09-28,0.003084958168237532,0.02214024124536531,-3.8103584554030476,0.010519095112034327,-4.554563091338477
2020-10-05,0.007646138907453622,0.031123561959785054,-3.4697901273598744,0.01300345058152065,-4.342540527392995
2020-10-12,2.535575871936449e-4,0.018417341675633008,-3.994462575853485,0.009204306290357943,-4.688083829401184
2020-10-19,-8.715608949612174e-4,0.017195723327473378,-4.06309456983126,0.008542464644159847,-4.7627057127999155
2020-10-26,-0.011449977649061081,0.042205877155544344,-3.1651957985484818,0.016776666278263602,-4.087766270013363
2020-11-02,0.013967517952871133,0.035947455665843384,-3.325696971566056,0.008898901337087749,-4.7218274551350765
2020-11-09,0.004484397510551033,0.02229219037722267,-3.803518869152393,0.00995480595806816,-4.609699833562711
2020-11-16,-0.0015530584724828683,0.01986030309240551,-3.919032359031137,0.009777163262258866,-4.62770589199325
2020-11-23,0.005799996211361781,0.017359647049380353,-4.053606901213508,0.0074564853532974006,-4.898671108049908
2020-11-30,0.0033701414123174863,0.014701688780483071,-4.219792908769937,0.006311703163629752,-5.065349723852723
2020-12-07,-0.0019289689446018166,0.009768045041636645,-4.628638931042202,0.004382068518098816,-5.430234401669397
2020-12-14,0.002417036504782185,0.015812456693348513,-4.1469572512587165,0.007430064928245475,-4.902220681630426
2020-12-21,-1.2188012374847107e-4,0.005617792391785631,-5.181816505097246,0.0032403792112932683,-5.732064915503993
